,max_data_size,high_wat,low_wat,mem_used,item count,avg value size,ep_value_size,curr_items_tot,ep_num_non_resident,vb_active_perc_mem,vb_replica_perc_mem
DS-CB-AUTHCACHE,
 ma1-idmsp-pod4-lapp01, 5242880000, 4456448000, 3932160000, 23806304, 32728,, 852917, 65609, 0, 100, 100
 ma1-idmsp-pod4-lapp02, 5242880000, 4456448000, 3932160000, 24876768, 33248,, 865267, 66559, 0, 100, 100
 ma1-idmsp-pod4-lapp03, 5242880000, 4456448000, 3932160000, 24808016, 33233,, 860886, 66222, 0, 100, 100
 ma1-idmsp-pod4-lapp04, 5242880000, 4456448000, 3932160000, 24017216, 33138,, 863616, 66432, 0, 100, 100
 ma1-idmsp-pod4-lapp05, 5242880000, 4456448000, 3932160000, 24457392, 33234,, 860353, 66181, 0, 100, 100
 ma1-idmsp-pod4-lapp06, 5242880000, 4456448000, 3932160000, 24795600, 33368,, 869193, 66861, 0, 100, 100
DS-CB-NAMESPACE,
 ma1-idmsp-pod4-lapp01, 31457280000, 26738688000, 23592960000, 24043986912, 54043562,, 13418635211, 108077793, 57368912, 66, 27
 ma1-idmsp-pod4-lapp02, 31457280000, 26738688000, 23592960000, 25408892544, 54024296,, 14715568518, 108068947, 51783525, 74, 29
 ma1-idmsp-pod4-lapp03, 31457280000, 26738688000, 23592960000, 23612768160, 54027693,, 13007388170, 108069126, 59246139, 45, 44
 ma1-idmsp-pod4-lapp04, 31457280000, 26738688000, 23592960000, 23573080128, 54037867,, 12969862969, 108066120, 59409727, 54, 35
 ma1-idmsp-pod4-lapp05, 31457280000, 26738688000, 23592960000, 26556809696, 53722477,, 15862744226, 107434136, 46084418, 72, 42
 ma1-idmsp-pod4-lapp06, 31457280000, 26738688000, 23592960000, 26503367968, 53720623,, 15811663997, 107436914, 46312982, 84, 29
DS-CB-REFDATA,
 ma1-idmsp-pod4-lapp01, 1048576000, 891289600, 786432000, 28964384, 351,, 7256439, 1403, 0, 100, 100
 ma1-idmsp-pod4-lapp02, 1048576000, 891289600, 786432000, 24189312, 359,, 2484538, 1408, 0, 100, 100
 ma1-idmsp-pod4-lapp03, 1048576000, 891289600, 786432000, 30065552, 353,, 8349295, 1382, 0, 100, 100
 ma1-idmsp-pod4-lapp04, 1048576000, 891289600, 786432000, 28087488, 350,, 6387807, 1396, 0, 100, 100
 ma1-idmsp-pod4-lapp05, 1048576000, 891289600, 786432000, 29909840, 333,, 8317312, 1387, 0, 100, 100
 ma1-idmsp-pod4-lapp06, 1048576000, 891289600, 786432000, 25129056, 344,, 3561173, 1384, 0, 100, 100
DS-CB-XML,
 ma1-idmsp-pod4-lapp01, 127926272000, 108737331200, 95944704000, 96690022032, 27170123,, 85530504816, 54331851, 39282860, 29, 26
 ma1-idmsp-pod4-lapp02, 127926272000, 108737331200, 95944704000, 108280272944, 27165922,, 96248158139, 54329801, 37487067, 33, 28
 ma1-idmsp-pod4-lapp03, 127926272000, 108737331200, 95944704000, 96690821120, 27167962,, 85530400930, 54332703, 39456396, 28, 26
 ma1-idmsp-pod4-lapp04, 127926272000, 108737331200, 95944704000, 96517875264, 27167075,, 85374014044, 54338208, 39494987, 34, 20
 ma1-idmsp-pod4-lapp05, 127926272000, 108737331200, 95944704000, 107831351840, 27007298,, 95875874495, 54014088, 37295544, 42, 19
 ma1-idmsp-pod4-lapp06, 127926272000, 108737331200, 95944704000, 107854005056, 27002233,, 95897381629, 54014575, 37291045, 42, 19
DS_I3_RULE,
 ma1-idmsp-pod4-lapp01, 2097152000, 1782579200, 1572864000, 21509424, 0,, 0, 0, 0, 0, 0
 ma1-idmsp-pod4-lapp02, 2097152000, 1782579200, 1572864000, 21509536, 0,, 0, 0, 0, 0, 0
 ma1-idmsp-pod4-lapp03, 2097152000, 1782579200, 1572864000, 21509408, 0,, 0, 0, 0, 0, 0
 ma1-idmsp-pod4-lapp04, 2097152000, 1782579200, 1572864000, 21509408, 0,, 0, 0, 0, 0, 0
 ma1-idmsp-pod4-lapp05, 2097152000, 1782579200, 1572864000, 21385856, 0,, 0, 0, 0, 0, 0
 ma1-idmsp-pod4-lapp06, 2097152000, 1782579200, 1572864000, 21385824, 0,, 0, 0, 0, 0, 0
Average value size = ep_value_size/(curr_items_tot-ep_num_non_resident)
