,max_data_size,high_wat,low_wat,mem_used,item count,avg value size,ep_value_size,curr_items_tot,ep_num_non_resident,vb_active_perc_mem,vb_replica_perc_mem
DS-CB-AUTHCACHE,,,,,,,,,,,
 ma1-idmsp-pod4-lapp01,"5,242,880,000","4,456,448,000","3,932,160,000","23,806,304","32,728",13,"852,917","65,609",0,100,100
 ma1-idmsp-pod4-lapp02,"5,242,880,000","4,456,448,000","3,932,160,000","24,876,768","33,248",13,"865,267","66,559",0,100,100
 ma1-idmsp-pod4-lapp03,"5,242,880,000","4,456,448,000","3,932,160,000","24,808,016","33,233",13,"860,886","66,222",0,100,100
 ma1-idmsp-pod4-lapp04,"5,242,880,000","4,456,448,000","3,932,160,000","24,017,216","33,138",13,"863,616","66,432",0,100,100
 ma1-idmsp-pod4-lapp05,"5,242,880,000","4,456,448,000","3,932,160,000","24,457,392","33,234",13,"860,353","66,181",0,100,100
 ma1-idmsp-pod4-lapp06,"5,242,880,000","4,456,448,000","3,932,160,000","24,795,600","33,368",13,"869,193","66,861",0,100,100
DS-CB-NAMESPACE,,,,,,,,,,,
 ma1-idmsp-pod4-lapp01,"31,457,280,000","26,738,688,000","23,592,960,000","24,043,986,912","54,043,562",265,"13,418,635,211","108,077,793","57,368,912",66,27
 ma1-idmsp-pod4-lapp02,"31,457,280,000","26,738,688,000","23,592,960,000","25,408,892,544","54,024,296",261,"14,715,568,518","108,068,947","51,783,525",74,29
 ma1-idmsp-pod4-lapp03,"31,457,280,000","26,738,688,000","23,592,960,000","23,612,768,160","54,027,693",266,"13,007,388,170","108,069,126","59,246,139",45,44
 ma1-idmsp-pod4-lapp04,"31,457,280,000","26,738,688,000","23,592,960,000","23,573,080,128","54,037,867",267,"12,969,862,969","108,066,120","59,409,727",54,35
 ma1-idmsp-pod4-lapp05,"31,457,280,000","26,738,688,000","23,592,960,000","26,556,809,696","53,722,477",259,"15,862,744,226","107,434,136","46,084,418",72,42
 ma1-idmsp-pod4-lapp06,"31,457,280,000","26,738,688,000","23,592,960,000","26,503,367,968","53,720,623",259,"15,811,663,997","107,436,914","46,312,982",84,29
DS-CB-REFDATA,,,,,,,,,,,
 ma1-idmsp-pod4-lapp01,"1,048,576,000","891,289,600","786,432,000","28,964,384",351,"5,172","7,256,439","1,403",0,100,100
 ma1-idmsp-pod4-lapp02,"1,048,576,000","891,289,600","786,432,000","24,189,312",359,"1,765","2,484,538","1,408",0,100,100
 ma1-idmsp-pod4-lapp03,"1,048,576,000","891,289,600","786,432,000","30,065,552",353,"6,041","8,349,295","1,382",0,100,100
 ma1-idmsp-pod4-lapp04,"1,048,576,000","891,289,600","786,432,000","28,087,488",350,"4,576","6,387,807","1,396",0,100,100
 ma1-idmsp-pod4-lapp05,"1,048,576,000","891,289,600","786,432,000","29,909,840",333,"5,997","8,317,312","1,387",0,100,100
 ma1-idmsp-pod4-lapp06,"1,048,576,000","891,289,600","786,432,000","25,129,056",344,"2,573","3,561,173","1,384",0,100,100
DS-CB-XML,,,,,,,,,,,
 ma1-idmsp-pod4-lapp01,"127,926,272,000","108,737,331,200","95,944,704,000","96,690,022,032","27,170,123","5,683","85,530,504,816","54,331,851","39,282,860",29,26
 ma1-idmsp-pod4-lapp02,"127,926,272,000","108,737,331,200","95,944,704,000","108,280,272,944","27,165,922","5,715","96,248,158,139","54,329,801","37,487,067",33,28
 ma1-idmsp-pod4-lapp03,"127,926,272,000","108,737,331,200","95,944,704,000","96,690,821,120","27,167,962","5,749","85,530,400,930","54,332,703","39,456,396",28,26
 ma1-idmsp-pod4-lapp04,"127,926,272,000","108,737,331,200","95,944,704,000","96,517,875,264","27,167,075","5,752","85,374,014,044","54,338,208","39,494,987",34,20
 ma1-idmsp-pod4-lapp05,"127,926,272,000","108,737,331,200","95,944,704,000","107,831,351,840","27,007,298","5,735","95,875,874,495","54,014,088","37,295,544",42,19
 ma1-idmsp-pod4-lapp06,"127,926,272,000","108,737,331,200","95,944,704,000","107,854,005,056","27,002,233","5,734","95,897,381,629","54,014,575","37,291,045",42,19
DS_I3_RULE,,,,,,,,,,,
 ma1-idmsp-pod4-lapp01,"2,097,152,000","1,782,579,200","1,572,864,000","21,509,424",0,,0,0,0,0,0
 ma1-idmsp-pod4-lapp02,"2,097,152,000","1,782,579,200","1,572,864,000","21,509,536",0,,0,0,0,0,0
 ma1-idmsp-pod4-lapp03,"2,097,152,000","1,782,579,200","1,572,864,000","21,509,408",0,,0,0,0,0,0
 ma1-idmsp-pod4-lapp04,"2,097,152,000","1,782,579,200","1,572,864,000","21,509,408",0,,0,0,0,0,0
 ma1-idmsp-pod4-lapp05,"2,097,152,000","1,782,579,200","1,572,864,000","21,385,856",0,,0,0,0,0,0
 ma1-idmsp-pod4-lapp06,"2,097,152,000","1,782,579,200","1,572,864,000","21,385,824",0,,0,0,0,0,0
Average value size = ep_value_size/(curr_items_tot-ep_num_non_resident),,,,,,,,,,,
